source,target,player_count
Algeria,Al-Ahli,1
Algeria,Al-Duhail,1
Algeria,Al-Ittihad,1
Algeria,Bayer Leverkusen,1
Algeria,Borussia Dortmund,1
Algeria,Charleroi,1
Algeria,Eintracht Frankfurt,1
Algeria,Espérance de Tunis,1
Algeria,Feyenoord,1
Algeria,Frosinone,1
Algeria,Granada,1
Algeria,Győri ETO,1
Algeria,Hellas Verona,1
Algeria,JS Kabylie,1
Algeria,Lille,2
Algeria,Manchester City,1
Algeria,Marseille,1
Algeria,Nice,1
Algeria,Paris FC,1
Algeria,Stade Nyonnais,1
Algeria,Twente,1
Algeria,USM Alger,2
Algeria,VfL Wolfsburg,1
Algeria,Young Boys,1
Argentina,Aston Villa,1
Argentina,Atlético Madrid,6
Argentina,Bayer Leverkusen,1
Argentina,Benfica,1
Argentina,Boca Juniors,1
Argentina,Chelsea,1
Argentina,Como,1
Argentina,Inter Miami CF,2
Argentina,Inter Milan,1
Argentina,Liverpool,1
Argentina,Lyon,1
Argentina,Manchester United,1
Argentina,Marseille,3
Argentina,Palmeiras,1
Argentina,Real Betis,1
Argentina,River Plate,1
Argentina,Strasbourg,1
Argentina,Tottenham Hotspur,1
Australia,APOEL,1
Australia,Albirex Niigata,1
Australia,Castellón,1
Australia,Colorado Rapids,1
Australia,FC St. Pauli,2
Australia,Feyenoord,1
Australia,GAK,1
Australia,Heart of Midlothian,1
Australia,Heracles Almelo,1
Australia,Leicester City,1
Australia,Levante,1
Australia,Machida Zelvia,1
Australia,Melbourne City,3
Australia,Melbourne Victory,1
Australia,New York City FC,2
Australia,Norwich City,1
Australia,Parma,1
Australia,Randers,1
Australia,Sassuolo,1
Australia,Swansea City,1
Australia,Sydney FC,1
Australia,Watford,1
Austria,Bayern Munich,1
Austria,Borussia Dortmund,2
Austria,Braga,1
Austria,Brøndby,1
Austria,Elche,1
Austria,FC Augsburg,1
Austria,LASK,1
Austria,Mainz 05,2
Austria,PSV Eindhoven,1
Austria,RB Leipzig,2
Austria,Real Madrid,1
Austria,Red Bull Salzburg,1
Austria,Red Star Belgrade,1
Austria,SC Freiburg,1
Austria,TSG Hoffenheim,1
Austria,Tottenham Hotspur,1
Austria,Venezia,1
Austria,VfL Wolfsburg,1
Austria,Viktoria Plzeň,1
Austria,Werder Bremen,2
Austria,Wolfsberger AC,1
Belgium,Arsenal,1
Belgium,Aston Villa,2
Belgium,Atalanta,1
Belgium,Benfica,1
Belgium,Brighton & Hove Albion,1
Belgium,Club Brugge,3
Belgium,Eintracht Frankfurt,1
Belgium,Fulham,1
Belgium,Girona,1
Belgium,Lille,3
Belgium,Manchester City,1
Belgium,Manchester United,1
Belgium,Milan,2
Belgium,Napoli,2
Belgium,Rangers,1
Belgium,Real Madrid,1
Belgium,Sporting CP,1
Belgium,Strasbourg,2
Bosnia and Herzegovina,Astana,1
Bosnia and Herzegovina,Atalanta,1
Bosnia and Herzegovina,Benfica,1
Bosnia and Herzegovina,Borac Banja Luka,1
Bosnia and Herzegovina,Borussia Mönchengladbach,1
Bosnia and Herzegovina,Brøndby,1
Bosnia and Herzegovina,FC St. Pauli,1
Bosnia and Herzegovina,Gaziantep,1
Bosnia and Herzegovina,Hull City,1
Bosnia and Herzegovina,Jagiellonia Białystok,1
Bosnia and Herzegovina,Karlsruher SC,1
Bosnia and Herzegovina,Lens,1
Bosnia and Herzegovina,PSV Eindhoven,1
Bosnia and Herzegovina,Pafos,1
Bosnia and Herzegovina,Red Bull Salzburg,1
Bosnia and Herzegovina,Rijeka,2
Bosnia and Herzegovina,Sampdoria,1
Bosnia and Herzegovina,Sassuolo,1
Bosnia and Herzegovina,Schalke 04,2
Bosnia and Herzegovina,Slovan Liberec,1
Bosnia and Herzegovina,Universitatea Cluj,1
Bosnia and Herzegovina,VfB Stuttgart,1
Bosnia and Herzegovina,Viktoria Plzeň,1
Bosnia and Herzegovina,Young Boys,1
Brazil,Al-Ahli,1
Brazil,Al-Ittihad,1
Brazil,Arsenal,2
Brazil,Barcelona,1
Brazil,Botafogo,1
Brazil,Bournemouth,1
Brazil,Brentford,1
Brazil,Fenerbahçe,1
Brazil,Flamengo,4
Brazil,Grêmio,1
Brazil,Juventus,1
Brazil,Liverpool,1
Brazil,Lyon,1
Brazil,Manchester United,2
Brazil,Newcastle United,1
Brazil,Paris Saint-Germain,1
Brazil,Real Madrid,1
Brazil,Roma,1
Brazil,Santos,1
Brazil,Zenit Saint Petersburg,2
Canada,Anderlecht,1
Canada,Barnsley,1
Canada,Bayern Munich,1
Canada,Celtic,1
Canada,Chicago Fire FC,1
Canada,Dender,1
Canada,Hajduk Split,1
Canada,Hull City,1
Canada,Inter Miami CF,1
Canada,Juventus,1
Canada,Los Angeles FC,3
Canada,Middlesbrough,1
Canada,Nice,1
Canada,Norwich City,1
Canada,Orlando City SC,1
Canada,Rangers,1
Canada,Sassuolo,1
Canada,Southampton,1
Canada,Toronto FC,2
Canada,Union Saint-Gilloise,1
Canada,Villarreal,2
